5	header
grid	a 50	b 50	c 50
size	x 1.000000	y 1.000000	z 1.000000
origin	x 0.000000	y 0.000000	z 0.000000
microstructures 1145
homogenization	1
606	606	606	448	448	448	448	575	575	575	527	527	527	527	527	527	527	527	527	527	527	527	527	527	527	527	527	527	527	527	527	527	527	527	527	115	115	115	527	527	388	388	388	1059	713	713	713	606	606	606
25	25	25	25	448	575	575	575	575	575	575	527	527	1072	1072	527	829	829	829	829	527	373	373	527	527	527	527	527	953	592	592	592	592	346	592	115	115	115	115	388	388	388	388	713	713	713	713	606	606	25
25	25	25	501	501	501	575	575	575	575	906	906	906	1072	1072	1072	829	829	829	829	527	373	118	118	527	527	527	953	592	592	592	592	592	592	592	115	115	115	115	388	388	388	388	1068	1068	1068	1068	1027	1027	1027
1027	1027	501	501	501	501	501	501	501	906	906	906	906	906	1072	1072	829	829	1132	1132	1132	858	858	465	465	465	465	953	592	592	592	592	592	592	592	592	784	784	1068	1068	1068	1068	1068	1068	1068	1068	1068	348	1027	1027
1027	1027	501	501	501	501	501	501	501	406	906	906	906	906	906	1117	1117	1132	1132	1132	1132	858	858	465	465	465	465	268	592	204	204	592	592	478	478	478	784	784	784	1068	1068	1068	1068	1068	1068	1068	1068	1068	1068	1027
519	519	519	519	501	501	192	192	501	501	406	406	906	906	542	1117	1117	1117	1132	1132	243	243	243	465	465	465	268	268	268	204	204	478	478	478	478	478	784	784	784	784	1068	1068	1068	1068	1068	1068	1068	1068	1068	1027
519	519	519	519	519	519	501	501	501	501	406	406	542	542	542	1117	1117	1117	1117	1117	243	243	243	849	465	465	268	268	204	204	204	478	478	478	478	478	784	784	784	784	1068	1068	1068	1068	1068	1068	1068	1068	519	519
519	519	519	815	815	815	501	501	501	501	1092	1092	542	542	542	1117	1117	1117	1117	50	50	243	243	849	16	16	16	16	204	204	204	478	478	478	478	478	784	784	784	784	60	60	60	60	60	1068	1068	1068	519	519
519	519	519	815	815	815	501	501	1001	1001	1001	1092	542	542	542	542	1117	1117	1117	50	50	16	16	16	16	16	16	16	16	435	419	419	419	419	419	562	562	562	60	60	60	60	60	60	60	60	919	919	919	519
75	75	75	75	75	815	29	1001	1001	1001	1001	1001	1001	1001	1001	196	196	196	359	359	1029	16	16	16	16	16	16	16	435	435	435	419	419	419	419	419	562	562	60	60	60	60	60	60	60	919	919	919	919	919
75	75	75	75	75	29	29	929	929	929	1001	1001	1001	1001	1001	196	196	196	359	359	1029	1029	16	16	16	16	16	16	435	435	435	419	419	419	419	112	112	112	60	60	60	60	60	60	1070	1070	1070	1070	1070	1070
75	75	75	75	29	29	29	29	1145	1001	1001	1001	1001	1001	1001	196	196	196	359	359	1029	1029	1029	359	359	359	16	914	435	435	1130	419	419	1130	1130	1130	112	112	1130	60	60	728	728	1070	1070	1070	1070	1070	1070	1070
75	75	75	29	29	29	29	29	312	312	1001	1001	1001	1001	1001	196	196	446	446	359	359	359	359	359	359	359	914	914	1130	1130	1130	1130	1130	1130	112	112	112	112	1130	742	678	728	728	1070	1070	1070	1070	1070	1070	1070
873	428	873	29	29	29	29	29	312	312	312	1001	1001	1001	1001	196	196	446	446	366	359	359	359	359	914	914	914	914	624	1130	1130	1130	1130	1130	112	112	112	112	742	742	678	678	728	1070	1070	1070	1070	1070	515	515
873	873	873	873	873	29	51	51	312	312	312	247	247	247	247	247	196	446	446	717	717	244	244	914	914	914	914	914	624	624	241	1090	1122	1122	1122	1122	1122	95	678	678	678	678	678	633	633	633	633	633	873	873
873	873	873	873	873	339	339	51	51	312	312	247	247	645	247	247	247	671	717	717	717	244	244	244	914	914	914	241	241	241	241	1090	1090	1122	1122	1122	1122	95	367	367	367	367	367	633	633	633	633	633	633	520
